2025-08-25 03:10:46.104 [main] INFO  xiaozhi.AdminApplication - Starting AdminApplication using Java 21.0.7 with PID 26224 (D:\Produce\AI+X\RZ\smart-sound-art\cloud\main\manager-api\target\classes started by lenovo in D:\Produce\AI+X\RZ\smart-sound-art)
2025-08-25 03:10:46.107 [main] DEBUG xiaozhi.AdminApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-08-25 03:10:46.108 [main] INFO  xiaozhi.AdminApplication - The following 1 profile is active: "dev"
2025-08-25 03:10:49.076 [main] INFO  xiaozhi.AdminApplication - Starting AdminApplication using Java 21.0.7 with PID 28240 (D:\Produce\AI+X\RZ\smart-sound-art\cloud\main\manager-api\target\classes started by lenovo in D:\Produce\AI+X\RZ\smart-sound-art)
2025-08-25 03:10:49.088 [main] DEBUG xiaozhi.AdminApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-08-25 03:10:49.094 [main] INFO  xiaozhi.AdminApplication - The following 1 profile is active: "dev"
2025-08-25 03:10:50.226 [main] INFO  xiaozhi.AdminApplication - Starting AdminApplication using Java 21.0.7 with PID 28032 (D:\Produce\AI+X\RZ\smart-sound-art\cloud\main\manager-api\target\classes started by lenovo in D:\Produce\AI+X\RZ\smart-sound-art)
2025-08-25 03:10:50.300 [main] DEBUG xiaozhi.AdminApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-08-25 03:10:50.330 [main] INFO  xiaozhi.AdminApplication - The following 1 profile is active: "dev"
2025-08-25 03:10:51.023 [main] INFO  xiaozhi.AdminApplication - Starting AdminApplication using Java 21.0.7 with PID 15264 (D:\Produce\AI+X\RZ\smart-sound-art\cloud\main\manager-api\target\classes started by lenovo in D:\Produce\AI+X\RZ\smart-sound-art)
2025-08-25 03:10:51.043 [main] DEBUG xiaozhi.AdminApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-08-25 03:10:51.073 [main] INFO  xiaozhi.AdminApplication - The following 1 profile is active: "dev"
2025-08-25 03:10:51.513 [main] INFO  xiaozhi.AdminApplication - Starting AdminApplication using Java 21.0.7 with PID 3384 (D:\Produce\AI+X\RZ\smart-sound-art\cloud\main\manager-api\target\classes started by lenovo in D:\Produce\AI+X\RZ\smart-sound-art)
2025-08-25 03:10:51.576 [main] DEBUG xiaozhi.AdminApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-08-25 03:10:51.630 [main] INFO  xiaozhi.AdminApplication - The following 1 profile is active: "dev"
2025-08-25 03:10:53.633 [main] INFO  xiaozhi.AdminApplication - Starting AdminApplication using Java 21.0.7 with PID 29316 (D:\Produce\AI+X\RZ\smart-sound-art\cloud\main\manager-api\target\classes started by lenovo in D:\Produce\AI+X\RZ\smart-sound-art)
2025-08-25 03:10:53.637 [main] DEBUG xiaozhi.AdminApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-08-25 03:10:53.638 [main] INFO  xiaozhi.AdminApplication - The following 1 profile is active: "dev"
2025-08-25 03:10:57.527 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-08-25 03:10:57.528 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-08-25 03:10:57.540 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-08-25 03:10:57.545 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-08-25 03:10:57.582 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
